[2026-01-23T14:37:55.945Z] Safe | Score: 0
[2026-01-23T14:41:37.757Z] Safe | Score: 0
[2026-01-23T14:41:43.122Z] Safe | Score: 0
[2026-01-23T14:41:44.118Z] Safe | Score: 0
[2026-01-23T14:41:44.337Z] Safe | Score: 0
[2026-01-23T14:45:56.917Z] Safe | Score: 0
[2026-01-23T14:46:42.020Z] Authority Scam + Sensitive Data Scam + Critical Police / Authority Scam | Score: 95
[2026-01-23T15:42:43.623Z] Type: Safe | Score: 0 | Confidence: 50% | Patterns: 
[2026-01-23T15:46:32.001Z] Type: Safe | Score: 0 | Confidence: 50% | Patterns: 
[2026-01-23T15:50:11.890Z] Type: Safe | Score: 0 | Confidence: 50% | Patterns: 
[2026-01-23T15:53:10.818Z] Type: Safe | Score: 0 | Confidence: 50% | Patterns: 
[2026-01-23T15:53:38.052Z] Type: Lottery / Reward Scam | Score: 35 | Confidence: 50% | Patterns: Lottery / reward bait
[2026-01-23T15:54:06.211Z] Type: Authority Scam + Lottery / Reward Scam | Score: 70 | Confidence: 70% | Patterns: Authority impersonation; Lottery / reward bait
[2026-01-23T16:02:26.204Z] Safe | Score: 0
[2026-01-26T07:15:44.817Z] Lottery / Reward Scam | Score: 35
[2026-01-26T13:19:15.022Z] Informational | Score: 0
[2026-01-26T13:19:46.973Z] Informational | Score: 20
[2026-01-26T13:20:28.263Z] Lottery Scam | Score: 40
[2026-01-26T13:20:46.768Z] Delivery Scam | Score: 40
[2026-01-26T13:21:24.078Z] Informational | Score: 0
[2026-01-26T13:25:31.892Z] Informational | Score: 0
[2026-01-26T13:25:44.998Z] Authority Scam | Score: 40
[2026-01-26T13:26:19.363Z] Authority Scam | Score: 40
[2026-01-26T13:26:33.601Z] Authority Scam | Score: 40
[2026-01-26T13:26:48.826Z] Authority Scam | Score: 40
[2026-01-26T13:27:01.756Z] Authority Scam | Score: 40
[2026-01-26T13:27:02.783Z] Authority Scam | Score: 40
[2026-01-26T13:27:03.000Z] Authority Scam | Score: 40
[2026-01-26T13:27:29.650Z] Lottery Scam | Score: 40
[2026-01-26T13:27:45.430Z] Lottery Scam + Authority Scam | Score: 80
[2026-01-26T13:38:04.896Z] Lottery Scam | Score: 40
[2026-01-26T13:38:52.035Z] Informational | Score: 0
[2026-01-26T13:46:06.346Z] Safe | Score: 0
[2026-01-26T13:46:22.141Z] Safe | Score: 40
[2026-01-26T13:46:43.947Z] Delivery Scam | Score: 65
[2026-01-26T13:46:50.604Z] Delivery Scam | Score: 65
[2026-01-26T14:15:58.845Z] Authority Scam | Score: 35
[2026-01-26T14:16:58.594Z] Authority Scam | Score: 50
[2026-01-26T14:17:32.453Z] Lottery Scam + OTP Scam | Score: 95
[2026-01-26T14:17:57.501Z] Informational | Score: 10
[2026-01-26T14:19:16.233Z] Informational | Score: 0
[2026-01-26T14:20:17.366Z] Informational | Score: 70
[2026-01-26T14:22:18.733Z] Informational | Score: 0
[2026-01-26T14:22:44.701Z] Informational | Score: 0
[2026-01-26T14:22:46.581Z] Informational | Score: 0
[2026-01-26T14:32:47.557Z] Informational | Score: 0
[2026-01-26T14:35:16.033Z] Informational | Score: 0
[2026-01-26T14:35:27.889Z] Informational | Score: 0
[2026-01-26T14:36:09.208Z] Informational | Score: 0
[2026-01-26T14:40:06.538Z] Informational | Score: 0
[2026-01-26T14:43:37.762Z] Informational | Score: 0
[2026-01-26T14:46:27.208Z] Informational | Score: 0
[2026-01-26T14:50:23.252Z] Bank Verification Message | Score: 35
[2026-01-26T15:09:17.264Z] Informational | Score: 0
[2026-01-26T15:09:29.213Z] Informational | Score: 0
[2026-01-26T15:09:38.859Z] Authority Scam | Score: 95
[2026-01-26T15:09:50.197Z] Authority Scam | Score: 35
[2026-01-26T15:28:16.196Z] Authority Scam | Score: 95
[2026-01-26T15:28:33.952Z] Informational | Score: 85
[2026-01-26T15:28:49.747Z] Informational | Score: 0
